the_geom,address,allzoning1,allzoning2,appbbl,appdate,areasource,assessland,assesstot,bbl,bldgarea,bldgclass,bldgdepth,bldgfront,block,borocode,bsmtcode,builtcode,builtfar,cb2010,cd,comarea,commfar,condono,council,ct2010,easements,edesignum,exemptland,exempttot,ext,facilfar,factryarea,firecomp,garagearea,healtharea,histdist,irrlotcode,landmark,landuse,lot,lotarea,lotdepth,lotfront,lottype,ltdheight,numbldgs,numfloors,officearea,otherarea,overlay1,overlay2,ownername,ownertype,plutomapid,policeprct,proxcode,resarea,residfar,retailarea,sanborn,schooldist,spdist1,spdist2,splitzone,strgearea,taxmap,tract2010,unitsres,unitstotal,version,xcoord,ycoord,yearalter1,yearalter2,yearbuilt,zipcode,zmcode,zonedist1,zonedist2,zonedist3,zonedist4,zonemap
0106000020E6100000020000000103000000010000001D000000C3735B35238152C07C73864F265A4440BE26BCA51F8152C0EFBEA3D8245A4440E141C3581F8152C0F909AA73265A4440D1742E351F8152C0D303DF21275A4440C3F8AD101F8152C07B305611275A44406BD7664E218152C02AA85DF31B5A4440B1ED6B4B218152C07F87100A1C5A444018B91521218152C04D33B6FD1C5A444023E00AF2208152C028AB29EA1D5A44409FD1AB07208152C0119CB0CD225A444028E35185238152C000DE4468245A444048DE0E88248152C0186A001E1F5A4440FEBBEED6228152C0046AA75C1E5A444000F47C8A238152C00702A8F31A5A4440D4E77AA9238152C07D4597D41A5A444057D19BD5238152C05C6E53CB1A5A4440A260B20A248152C0817D71F71A5A444043C9001E248152C0F77206401B5A4440F3E9BFAA238152C0CAB5CBB71D5A444002821F78258152C0C91A71871E5A4440115F0C4B248152C0E7D13793245A444042DD58342E8152C0C0C3B414225A4440A6DC83BC318152C07D38C7C82A5A44404AFCB9B71F8152C0EFDF924F2F5A4440FC932E8A208152C07DC5CB1D2B5A444084EAF825218152C0D5A9EC02285A44407A386E9A208152C00F81B5C3275A4440DBEEB70F238152C03B020011275A4440C3735B35238152C07C73864F265A44400103000000010000000D000000B626DED41E8152C0F8F00BD5335A44401B6FE9011F8152C02B0D39EF325A4440FABC67251F8152C042CA82F6325A4440B1ADD5EF1F8152C0425D1613335A44404974525A218152C03745D5E0325A44408732F5A4248152C0BE1C732D325A44406391CA2C288152C02F1CB36B315A4440EA06A0BE288152C04B13537B2E5A44404B32BDE02A8152C07EA5157D2F5A44403714AA892B8152C0179D69CA2F5A44407FF0F5B3298152C08BABFB542F5A44401165BE18298152C0EB80FD3B325A4440B626DED41E8152C0F8F00BD5335A4440,22 BATTERY PLACE,C6-4/LM,,0,,7,3253500,7141050,1000160001,28732,K2,323,40,16,1,0,E,0.35,4001,101,28732,10,0,1,317.04,0,,3253500,7141050,,10,0,L015,0,8900,,Y,"PIER A, BATTERY PARK",5,1,83100,293,77,5,,1,3,0,0,,,CITY OF NEW YORK,C,1,1,1,0,10,28732,101S088,2,LM,,N,0,10101,31704,0,1,15v1,979250,195800,2012,0,1910,10280,,C6-4,,,,12b
0106000020E610000003000000010300000001000000A90000001AA571450C8152C03D075607315A4440C2469A08ED8052C02589793B2E5A4440721EC0E1EC8052C049E3862D2E5A44406BA10FC3EC8052C0CE58DF1E2E5A4440F2DD459FEC8052C033C469092E5A44401B0AB884EC8052C0F5C538F62D5A44408E576654EC8052C0738934CB2D5A4440B0631022EC8052C005D90F912D5A44401A0458FFEB8052C0AE68BF5E2D5A444006CFC4D0EB8052C0A1F379082D5A4440A9A5D3ADEB8052C06AC704B12C5A444025A3F892EB8052C043DC3E532C5A4440C019CF82EB8052C0841D7BFF2B5A4440BAD88D7AEB8052C0AC3953BB2B5A44402D5A6F76EB8052C0E07940762B5A44407789A1CCED8052C0E7DA5620105A4440D2AFC55BEE8052C0A827DD3F0B5A444035A7568AEE8052C05105FF96085A4440FB797CA0EE8052C025AAC5B0065A4440EFB342A3EE8052C03DAF04BE045A44405A35C49AEE8052C042679BA0025A44408480586DEE8052C0913FA09CFF594440A220EE04EE8052C0AE1C4CDCFC5944405058F83EED8052C0C6A452BEF9594440514CF954EC8052C022AAAD29F659444070DF508FEB8052C049094CA5F3594440AC7E4BEDEA8052C0A622FA1CF259444016E53072E68052C0CE42FDA6E95944406F061410E68052C019EA46B4E85944409A2468D9E58052C02969E99DE75944406B1865D0E58052C05F3B65DCE6594440E7320BEBE58052C049E70AC6E559444012ADFB38E68052C0091C2FB6E45944402A3197B6E68052C0A31BEA6AE35944405D69F1F9E68052C05B6A4B8CE2594440B67F7728E78052C0E7BE3C48E15944408117491DE78052C08DF056A1DF594440CD1D2FF8E68052C023729941DE5944407E0733C5E68052C0DD450FE1DA594440206A5CF0E58052C04A28DA33C959444064D216EEE58052C081F81E19C95944400354A8EBE58052C0D79D1CE7C8594440E7C58FEAE58052C0886DAAA6C859444056F44CEBE58052C092CFC174C8594440272387EDE58052C06A1FF840C85944400435B7F3E58052C0451419F3C7594440DB2AF2FAE58052C0951D74B6C75944401330DF08E68052C0FB5FD360C759444007F65316E68052C0DA5B8820C75944401651143CE68052C03FBA4C98C65944400D663B56E68052C08066E04EC65944409740ED7AE68052C01B46C1F8C55944407FF2F2A1E68052C05BB826ACC559444008CAD2D6E68052C021A2CB55C5594440A47604F2E68052C0DD35762FC559444071D7C809E78052C0ECFECC10C5594440B8AECB20E78052C04CDB5BF5C459444086AA373CE78052C0FC8E51D7C4594440C0F9025FE78052C08D4DF0B4C45944407ED63382E78052C0BB231096C459444050F090A5E78052C01194A07AC45944404D70B2C1E78052C066FC2F67C459444088CF18E9E78052C01E414E4FC45944405CFAEB1CE88052C02ED37035C45944409997C039E88052C03BEDA329C45944404698AB82E88052C0FDCF652EC4594440064D31F6ED8052C01B7EF07BC6594440579CBD29EE8052C07923F3A7C6594440562EF357EE8052C0A28BACDCC65944407A39A37BEE8052C0E1286317C7594440620FD889EE8052C00B7F7763C7594440120C5A86EE8052C0A970D6ADC7594440650A158DEE8052C0D8370E2FC85944400AD4E5A1EE8052C0B59FE9A6C8594440BEA81AC0EE8052C0889BE61EC9594440A4ADFED0EE8052C0347B6D56C95944402FF0C5E5EE8052C01E615F8EC959444007FD7DFDEE8052C05A098BC5C9594440AF43D80BEF8052C0040874E3C959444044D47622EF8052C013A5500ECA5944402BF5DA43EF8052C0C7D5CB45CA5944402173FB60EF8052C02E570570CA5944400E68C07DEF8052C0EE1A0D95CA594440BE723CA0EF8052C0693D2FBCCA5944406CD3E6C2EF8052C0CA7181DECA59444063EF6BDFEF8052C00CD55FF7CA59444009705DF8EF8052C06AFFD90ACB5944409577E20EF08052C0EB9FBB1ACB594440EE78B31BF08052C075411523CB594440CDB87A2DF08052C0ED5CDF2DCB5944408456864AF08052C0E3F1943DCB5944400F45D278F08052C02221F751CB5944407959459EF08052C0D0F3725ECB594440FB17DAC0F08052C0CE0FF266CB5944403965E6F3F08052C0EC72506ECB594440A34F641CF18052C07F8AD76FCB594440D0520546F18052C0C482536DCB594440225C3068F18052C048FF7E68CB594440D9800C9AF18052C0A1C23A5CCB594440AA1DC1BEF18052C02C62664FCB594440E515A1EAF18052C0E9137A3BCB5944408B300A23F28052C063021D1ACB594440C675D655F28052C09846D5F3CA59444093636A87F28052C02A85E7C5CA59444085307AB5F28052C0CB855392CA594440D00D19DDF28052C0A3FCB15DCA594440C5B9670BF38052C03737E113CA594440696769ECF48052C0195D5CC2C459444030492323F28052C0981BDDB8C25944402C35FFD8F58052C0D1F1705AB9594440362B0A2EF68052C0F148B2ABB959444082698606F78052C0B5B3EAAEB7594440B8B78624F88052C0C4AD8845B55944408316F8C0F88052C06689DE2BB65944400C3DB468FA8052C0F180A2B0B8594440CF6D5420FB8052C084E404C8B959444005331B18FD8052C033A664BFBC594440E574A1EAFE8052C0371E268BBF594440AE9B0F4BFF8052C0ED470C25C0594440D28180FC018152C012A39EA3C45944401E0770EC048152C0ACCA1284C9594440738F3A1D078152C0825F8A2ECD59444007E6A935078152C0AD7C9E57CD594440205DCFE9098152C093FBA576D259444067D1F14A0B8152C096B8C109D55944407B1F48070C8152C0903C4A7ED65944408E2A58C80C8152C077F74E08D85944404553C0270F8152C0E6A45ED1DC594440849A40B6118152C0B083661BE2594440B86AA451128152C0A9D66F7AE359444022E0C5B5148152C0C7455392E859444029D1D7E7158152C04058BF5EEB594440B9C12CC5168152C023C56686ED594440A9A375E0168152C020B5B4C0ED5944409B4CE43A178152C039A17B8FEE594440B81B157E198152C04BB688AEF3594440C628529D1A8152C07A19A241F6594440E7AD816F1C8152C0DE306D7BFA594440398A7A011D8152C0D6517ADAFB5944400751BF8E1D8152C0B11BB240FD59444037699C121E8152C073EC14AEFE594440227B0E8D1E8152C05E18761B005A4440857414FE1E8152C0BDCC2D97015A4440B5F7696A1F8152C08C64E912035A4440D00950CD1F8152C03F22CA95045A4440262FCF26208152C04474D91F065A44401649E376208152C00253E8A9075A44402C0E44C2208152C09DDF213B095A4440E9723704218152C055CC59CC0A5A44404ABF0E38218152C0F2DBC1640C5A444018488946218152C05F9364E40C5A4440E8A6BF7E218152C0B2701AD40E5A4440FD3954B7218152C03FA97743115A4440525E31CA218152C088C53B3E125A4440FE6CA3D3218152C0BD280439135A4440E54617DD218152C034F8F03A145A4440D6CB1FDD218152C0AA46BB35155A4440C76172D8218152C0F7F38530165A4440542112CF218152C048A44E2B175A4440C8AE43BC218152C0365B1326185A4440ECC776A9218152C0A824DF20195A444086A6428D218152C029ABAB1B1A5A4440D4C8566C218152C0BE87490F1B5A44406BD7664E218152C02AA85DF31B5A4440C3F8AD101F8152C07B305611275A4440840C6348168152C0405642D5225A4440C7837D6F138152C069D14A05315A44407E21475D0C8152C048F70A83305A44401AA571450C8152C03D075607315A4440010300000001000000150000006C8943AFE48052C054729592BA5944405C1C22A0DF8052C0A8AC2C70B95944405CBEB2B2DF8052C06A0A7FCCB859444082C91E95E48052C07A8D2111BA59444091C07BBDE58052C083C3D065B25944402C8805D3E68052C05DC39A6DAB594440E0F043EFE68052C0E7D71D83AB594440CC3D4C3BE98052C0F0BCE9439D5944406D26E25CE98052C07A6F5E529D59444040DA6117EA8052C08D9E646E9E5944408DF17EEDE78052C07321D17DAC594440BDC74035EA8052C097BABDB3AE594440942E6813ED8052C0EB3A4489A759444083DD7249EE8052C068F917D2A459444092392CB4EE8052C0BA1B9F74A55944403B3F3AE7ED8052C0F0B3B948A7594440008914B9EA8052C02F0A802DAF5944409C930F9BEB8052C072D9930BB05944401A30DEE1EE8052C06079E733B3594440269A12C8E68052C0E1381EC1AB5944406C8943AFE48052C054729592BA5944400103000000010000000700000036ECDC08F08052C0E6D72443B45944403D11B954F38052C01B039080AC594440599519C3F38052C03002A828AD594440FBEDFF56F38052C01CFAAE27AE594440F19F9935F38052C0D8926FF2AD594440F7044D78F08052C033769AA9B459444036ECDC08F08052C0E6D72443B4594440,10 BATTERY PARK,PARK,,0,,7,127100700,129840750,1000030001,945425,Q1,57,89,3,1,0,,1,1002,101,945425,0,0,1,319,0,,127100700,129840750,,0,0,L015,0,9000,,Y,CASTLE CLINTON,9,1,945425,1260,323,1,,6,1,0,945425,,,PARKS AND RECREATION,C,1,1,1,0,0,0,101S087,2,,,N,0,10101,319,0,4,15v1,979916,195328,0,0,1951,10280,,PARK,,,,12b
0106000020E61000000100000001030000000100000005000000AAB08A33FB8052C0FE3EDB595E5A444039E0462C018152C0966051473F5A444093AA4ACD0B8152C0048C13BD435A44406697979A058152C09DC5EA6B635A4440AAB08A33FB8052C0FE3EDB595E5A4440,17 BATTERY PLACE,C5-5/LM,,1000150001,12/29/98,7,15867000,104241600,1000157501,1257274,RM,0,0,15,1,5,,19.45,2005,101,810892,15,1025,1,13,0,,0,0,,15,0,E010,0,7700,,Y,THE WHITEHALL BUILDING,4,7501,64633,363.96,180.67,0,,2,31,810892,0,,,17 BATTERY PLACE COND,P,1,1,0,446382,10,0,11S 003,2,LM,,N,0,10101,13,500,601,15v1,979859,196346,1998,0,1902,10004,,C5-5,,,,12b
0106000020E61000000100000001030000000100000005000000B810EBE8F98052C0BC193012655A4440AAB08A33FB8052C0FE3EDB595E5A44406697979A058152C09DC5EA6B635A4440ACB7B34A048152C0A8A2DF206A5A4440B810EBE8F98052C0BC193012655A4440,20 WEST STREET,C5-5/LM,,1000150019,5/19/06,7,3150004,27791116,1000157502,178748,RM,179.58,76.67,15,1,5,,12.83,2005,101,10000,15,1557,1,13,0,,0,15807463,,15,0,E010,0,7700,,Y,DOWNTOWN ATHLETIC CLUB BUILDING,4,7502,13928,179.58,78.67,0,,1,45,0,0,,,THE DOWNTOWN CLUB CON,,1,1,0,168748,10,10000,11S 003,2,LM,,N,0,10101,13,283,284,15v1,979922,196558,2004,0,1930,10004,,C5-5,,,,12b
0106000020E61000000100000001030000000100000005000000B810EBE8F98052C0BC193012655A4440ACB7B34A048152C0A8A2DF206A5A444068137C0D038152C000366476705A4440CE38D7B0F88052C00057FD696B5A4440B810EBE8F98052C0BC193012655A4440,21 WEST STREET,C5-5/LM,,0,,7,3433500,26322300,1000150022,335746,D8,179.42,75,15,1,5,,24.93,2005,101,4000,15,0,1,13,0,,0,0,,15,0,E010,0,7700,,Y,,3,22,13465,179.42,75,3,,1,31,0,0,,,WEST EDEN,P,1,1,0,331746,10,4000,101S003,2,LM,,N,0,10101,13,293,295,15v1,979943,196631,0,0,1931,10006,,C5-5,,,,12b
0106000020E610000001000000010300000001000000060000006D6F7F64F18052C0DC7ECD2F905A44404D359864F18052C0756C562F905A44402C6CDEC0F78052C0FAC9BCC0705A44409E5BCE0A028152C02211A5A0755A44406B7E918AFB8052C0DB6A68DB965A44406D6F7F64F18052C0DC7ECD2F905A4440,25 WEST STREET,C6-9/LM,,1000180100,5/20/08,7,10197000,13196700,1000170045,112000,T9,165,116,17,1,5,,1.66,2004,101,112000,15,0,1,13,0,,10197000,13196700,,15,0,E010,0,7700,,Y,,7,45,67342,179.35,389.14,3,,1,8,0,112000,,,MTA BRIDGES & TUNNELS,C,1,1,0,0,10,0,11S 003,2,LM,,N,0,10101,13,1,1,15v1,980024,196905,0,0,1967,10006,,C6-9,,,,12b
0106000020E61000000100000001030000000100000017000000D274DF3BE38052C02DDD1647925A4440EB02D617E78052C06783F605805A44405499B044EC8052C0A2992E8B675A44407FD62EBDEC8052C05B8A3951655A444071635811F18052C06F8E52D7505A4440E4DC4ACAF58052C089E58C803A5A444066E9E198FE8052C03CC89F323E5A44406F08A024F78052C0DD3C3DF7635A4440266DCEF1F68052C04DA21430655A4440815974BAF68052C0CE278B03675A4440FA13D95EF68052C033DE948E6A5A4440487DF03FF68052C09222C9E56C5A4440F50DBE2FF68052C0A6B8B002705A44402C6CDEC0F78052C0FAC9BCC0705A44404D359864F18052C0756C562F905A44406D6F7F64F18052C0DC7ECD2F905A444016218461F18052C0536C8C3E905A4440FA7195EDEE8052C0298D609B8E5A4440433067DFEC8052C063972F38995A4440A374D94CEA8052C04C0BE75D975A44401E218939E88052C074BA41DF955A4440AACA1C97E68052C0D105E9B1945A4440D274DF3BE38052C02DDD1647925A4440,56 GREENWICH STREET,C6-9/LM,C5-5,1000180100,5/20/08,7,33021900,42368400,1000180100,193026,T9,176,249,18,1,5,,1.05,2003,101,193026,15,0,1,13,0,,0,0,G,15,0,E010,2127,7700,,Y,,7,100,183456,176.34,1020.32,5,,2,7,0,190899,,,NYS DORMITORY AUTHORI,C,1,1,0,0,10,0,101S003,2,LM,,Y,0,10101,13,0,1,15v1,980169,196646,0,0,1949,10006,,C6-9,C5-5,,,12b
0106000020E6100000010000000103000000010000000600000016218461F18052C0536C8C3E905A44406D6F7F64F18052C0DC7ECD2F905A44406B7E918AFB8052C0DB6A68DB965A4440F870AD87FB8052C0ECF431EA965A4440F3392C96F68052C0C897E6A7935A444016218461F18052C0536C8C3E905A4440,45 WEST STREET,C6-9/LM,,1000180100,5/20/08,7,22050,22050,1000170118,0,Z9,0,0,17,1,5,,0,1016,101,0,15,0,1,13,0,,0,0,,15,0,E010,0,7700,,N,,,118,120,0,0,4,,0,0,0,0,,,50 WEST DEVELOPMENT L,P,1,1,0,0,10,0,11S 003,2,LM,,N,0,10101,13,0,0,15v1,980079,197084,0,0,0,10006,,C6-9,,,,12b
0106000020E61000000100000001030000000100000006000000D53A6CBDEF8052C00D1A7DDF985A444016218461F18052C0536C8C3E905A4440F3392C96F68052C0C897E6A7935A4440F870AD87FB8052C0ECF431EA965A44405E4CD2C8F98052C0AF1742D69F5A4440D53A6CBDEF8052C00D1A7DDF985A4440,50 WEST STREET,C6-9/LM,,1000170018,12/17/07,7,6082650,8981704,1000170018,527901,D6,0,0,17,1,5,,29.38,1016,101,121851,15,0,1,13,0,,0,0,,15,0,E010,0,7700,,Y,,4,18,17966,179,100,4,,1,0,0,100724,,,50 WEST DEVELOPMENT L,P,1,1,0,406050,10,21127,101S003,2,LM,,N,0,10101,13,191,192,15v1,980093,197134,0,0,0,10006,,C6-9,,,,12b
0106000020E61000000100000001030000000100000007000000961B0C25F28052C05400D2AAA95A444058D03924ED8052C0E8303589A65A4440D53A6CBDEF8052C00D1A7DDF985A44405E4CD2C8F98052C0AF1742D69F5A4440AAF73BCCF78052C01AAED4FDA95A44407FA692C3F28052C02D55E7D1A65A4440961B0C25F28052C05400D2AAA95A4440,90 WASHINGTON STREET,C6-9/LM,,0,,7,6030000,31497300,1000170029,325514,D5,130,108,17,1,2,,13.62,1016,101,1000,15,0,1,13,0,,0,2808000,,15,0,E010,0,7700,,Y,,3,29,23902,179,156,3,,1,27,0,0,,,"EKATZ FAMILY, LLC",P,1,1,3,324514,10,1000,101S003,2,LM,,N,0,10101,13,397,399,15v1,980133,197247,2003,0,1969,10006,,C6-9,,,,12b
